views,comments,shares,likes,duration,captions,hashtags,created_at,created_day,created_month,created_year,tokenized_captions,filtered_captions,caption_length,split_hashtags
126,80,275,158,6,nopressure clonesquad foryoupage foryou,"nopressure, clonesquad, foryoupage, foryou",2020-05-09,Saturday,May,2020,"['nopressure', 'clonesquad', 'foryoupage', 'foryou']","['nopressure', 'clonesquad', 'foryoupage', 'foryou']",39,"['nopressure', 'clonesquad', 'foryoupage', 'foryou']"
4036,167,922,548,15,Cosa hai combinato mamma nopressure police comdey foryoupage foryou,"nopressure, police, comdey, foryoupage, foryou",2020-05-09,Saturday,May,2020,"['Cosa', 'hai', 'combinato', 'mamma', 'nopressure', 'police', 'comdey', 'foryoupage', 'foryou']","['Cosa', 'hai', 'combinato', 'mamma', 'nopressure', 'police', 'comdey', 'foryoupage', 'foryou']",67,"['nopressure', 'police', 'comdey', 'foryoupage', 'foryou']"
1387,64,527,164,8,Ditemi che non ero lunico greenscreen artattack foryoupage foryou williamscopetti,"greenscreen, artattack, foryoupage, foryou",2020-05-08,Friday,May,2020,"['Ditemi', 'che', 'non', 'ero', 'lunico', 'greenscreen', 'artattack', 'foryoupage', 'foryou', 'williamscopetti']","['Ditemi', 'che', 'non', 'ero', 'lunico', 'greenscreen', 'artattack', 'foryoupage', 'foryou', 'williamscopetti']",81,"['greenscreen', 'artattack', 'foryoupage', 'foryou']"
2959,173,1264,458,15,Mai fare arrabbiare un nerd nopressure distorto foryoupage foryou nerd,"nopressure, distorto, foryoupage, foryou, nerd",2020-05-08,Friday,May,2020,"['Mai', 'fare', 'arrabbiare', 'un', 'nerd', 'nopressure', 'distorto', 'foryoupage', 'foryou', 'nerd']","['Mai', 'fare', 'arrabbiare', 'un', 'nerd', 'nopressure', 'distorto', 'foryoupage', 'foryou', 'nerd']",70,"['nopressure', 'distorto', 'foryoupage', 'foryou', 'nerd']"
2485,99,646,332,15,ciseicifai foryoupage foryou foryoupage messico,"ciseicifai, foryoupage, foryou, foryoupage, messico",2020-05-07,Thursday,May,2020,"['ciseicifai', 'foryoupage', 'foryou', 'foryoupage', 'messico']","['ciseicifai', 'foryoupage', 'foryou', 'foryoupage', 'messico']",47,"['ciseicifai', 'foryoupage', 'foryou', 'foryoupage', 'messico']"
114,74,210,128,8,Mannagia  pap comeeravamo foryoupage foryou comedy,"comeeravamo, foryoupage, foryou, comedy",2020-05-07,Thursday,May,2020,"['Mannagia', 'pap', 'comeeravamo', 'foryoupage', 'foryou', 'comedy']","['Mannagia', 'pap', 'comeeravamo', 'foryoupage', 'foryou', 'comedy']",50,"['comeeravamo', 'foryoupage', 'foryou', 'comedy']"
2278,88,325,245,8,ziodait foryoupage foryou,"foryoupage, foryou",2020-05-06,Wednesday,May,2020,"['ziodait', 'foryoupage', 'foryou']","['ziodait', 'foryoupage', 'foryou']",25,"['foryoupage', 'foryou']"
1200000,572,6944,1482,8,Rip per il prof nei commenti nopressure foryoupage foryou comedy,"nopressure, foryoupage, foryou, comedy",2020-05-06,Wednesday,May,2020,"['Rip', 'per', 'il', 'prof', 'nei', 'commenti', 'nopressure', 'foryoupage', 'foryou', 'comedy']","['Rip', 'per', 'il', 'prof', 'nei', 'commenti', 'nopressure', 'foryoupage', 'foryou', 'comedy']",64,"['nopressure', 'foryoupage', 'foryou', 'comedy']"
7014,651,3728,1127,15,nopressure foryoupage foryou,"nopressure, foryoupage, foryou",2020-05-05,Tuesday,May,2020,"['nopressure', 'foryoupage', 'foryou']","['nopressure', 'foryoupage', 'foryou']",28,"['nopressure', 'foryoupage', 'foryou']"
3947,170,720,568,10,E sempre cos foryoupage foryou comic,"foryoupage, foryou, comic",2020-05-05,Tuesday,May,2020,"['E', 'sempre', 'cos', 'foryoupage', 'foryou', 'comic']","['E', 'sempre', 'cos', 'foryoupage', 'foryou', 'comic']",36,"['foryoupage', 'foryou', 'comic']"
4898,128,210,659,8,papa foryoupage foryou,"papa, foryoupage, foryou",2020-05-04,Monday,May,2020,"['papa', 'foryoupage', 'foryou']","['papa', 'foryoupage', 'foryou']",22,"['papa', 'foryoupage', 'foryou']"
1222,61,318,149,7,Sono tornato ragazzi foryoupage foryou comic,"foryoupage, foryou, comic",2020-05-04,Monday,May,2020,"['Sono', 'tornato', 'ragazzi', 'foryoupage', 'foryou', 'comic']","['Sono', 'tornato', 'ragazzi', 'foryoupage', 'foryou', 'comic']",44,"['foryoupage', 'foryou', 'comic']"
217,131,393,355,9,mica sono scemo hahah foryoupage foryou nonna,"foryoupage, foryou, nonna",2020-04-26,Sunday,April,2020,"['mica', 'sono', 'scemo', 'hahah', 'foryoupage', 'foryou', 'nonna']","['mica', 'sono', 'scemo', 'hahah', 'foryoupage', 'foryou', 'nonna']",45,"['foryoupage', 'foryou', 'nonna']"
359,273,1334,466,12,E sempre cos nopressure foryoupage foryou school,"nopressure, foryoupage, foryou, school",2020-04-25,Saturday,April,2020,"['E', 'sempre', 'cos', 'nopressure', 'foryoupage', 'foryou', 'school']","['E', 'sempre', 'cos', 'nopressure', 'foryoupage', 'foryou', 'school']",48,"['nopressure', 'foryoupage', 'foryou', 'school']"
