views,comments,shares,likes,duration,captions,hashtags,created_at
765٫1,943,5٫764,137,13,Vi è mai capitato?#foryoupage #foryou #comic #scuola #videolezioni #prof,"foryoupage, foryou, comic, scuola, videolezioni, prof",11/9/2020
391,255,1٫441,67٫6,11,taggate quell’amico che scrive solo il nome poi consegna #foryoupage #foryou #comic #shool,"foryoupage, foryou, comic, shool",11/8/2020
231,107,403,33,10,La persona dopo la @ ti abbandonerà quando si fidanzerà #foryoupage #foryou #comic #verità,"foryoupage, foryou, comic, verità",11/8/2020
387٫8,253,1٫302,66٫3,15,Chi c’è peggio di loro #foryoupage #foryou #comic #ironia,"foryoupage, foryou, comic, ironia",11/7/2020
167٫5,64,35,22٫6,15,Che dite vi piaccio come presidente della repubblica #nonhasenso @ranzy_music,nonhasenso,11/7/2020
"1,200,000",1٫596,9٫803,175٫3,14,La persona dopo la @ e il ragazzo silenzioso #foryoupage #foryou #comic #ironia #ragazzosilenzioso,"foryoupage, foryou, comic, ironia, ragazzosilenzioso",11/6/2020
229٫5,375,329,35٫8,25,#duetto con @kola_sucre_officiel bruuu#foryoupage #foryou #boxe,"duetto, foryoupage, foryou, boxe",11/6/2020
179٫8,167,671,25٫2,8,la persona dopo la @ ti sfiderà in una rissa #foryoupage #foryou #comic #ironia #scuola,"foryoupage, foryou, comic, ironia, scuola",11/6/2020
664٫1,628,1٫318,129٫2,15,Tagga il TikToker sopra di te #foryoupage #foryou #comic #ironia #xxxtentacion,"foryoupage, foryou, comic, ironia, xxxtentacion",11/5/2020
432٫4,237,678,74,48,tagga il tuo amico ribelle #foryoupage #foryou #comic #covid #quarentena,"foryoupage, foryou, comic, covid, quarentena",11/5/2020
256٫1,137,316,35٫5,14,#duetto con @officialfabiojackson non ci credoooo#foryoupage #foryou #comic #michaeljackson,"duetto, foryoupage, foryou, comic, michaeljackson",11/5/2020
161٫9,60,84,23٫2,11,Tagga un amico ricco #foryoupage #foryou #comic #ironia #tristeverità crediti @andres_marini,"foryoupage, foryou, comic, ironia, tristeverità",11/4/2020
155٫3,160,191,21٫2,9,la persona dopo la @ ti deve portare in America #foryoupage #foryou #comic #blacklivesmatter,"foryoupage, foryou, comic, blacklivesmatter",11/4/2020
263٫2,67,98,43٫4,31,#duetto con @cagritaner #foryoupage #foryou #comic,"duetto, foryoupage, foryou, comic",11/3/2020
178٫2,171,981,28٫8,15,Tagga i tuoi amici di party #foryoupage #foryou #comic #party #player,"foryoupage, foryou, comic, party, player",11/3/2020
196٫8,168,93,26٫1,8,Gg per mio fratellino #foryoupage #foryou #comic #ironia,"foryoupage, foryou, comic, ironia",11/2/2020
195٫5,83,436,30٫3,15,La persona dopo la @ ti aiuterà alla prossima difficoltà #foryoupage #foryou #comic #ironia,"foryoupage, foryou, comic, ironia",11/2/2020
342٫7,3٫252,1٫825,65٫4,15,Vincete per il vostro capitano #foryoupage #foryou #comic #nnn,"foryoupage, foryou, comic, nnn",11/1/2020
249,108,333,38٫6,17,#duetto con @donmatteoo,duetto,11/1/2020
274,481,2٫439,49٫8,11,La persone dopo la @ ti deve un pollo #foryoupage #foryou #comic #pollo,"foryoupage, foryou, comic, pollo",11/1/2020
268٫1,107,96,42٫9,23,#duetto con @annamarzella #foryoupage #foryou #comic,"duetto, foryoupage, foryou, comic",10/31/2020
220٫4,145,1٫331,36٫9,15,Tagga quel amico che fa sempre così #foryou #foryoupage #comic #player #freands,"foryou, foryoupage, comic, player, freands",10/30/2020
236٫8,432,92,29٫4,6,Grazie per i 600k❤️😍 se vi va seguitemi pure su Instagram #foryou #foryoupage,"foryou, foryoupage",10/30/2020
180٫3,62,99,22٫7,7,#duetto con @tillmoss #foryoupage #foryou,"duetto, foryoupage, foryou",10/29/2020
206٫6,141,290,34,15,la persona dopo la @ ti deve 100€#foryoupage #foryou #comic #ironia,"foryoupage, foryou, comic, ironia",10/29/2020
201٫5,142,431,32٫1,24,Riposto perché è floppato#foryoupage #foryou #comic #bidello #ironia la persona dopo la @ e un bidello,"foryoupage, foryou, comic, bidello, ironia",10/28/2020
211٫6,1٫009,223,36٫3,40,Mi presento  #foryoupage #foryou #,"foryoupage, foryou",10/28/2020
296٫3,151,392,54٫4,15,tagga abbiamo un amico così taggalo #foryoupage #foryou #comic #photo,"foryoupage, foryou, comic, photo",10/28/2020
691٫2,343,1٫708,121٫3,22,Tagga i tuoi amici di giochi #foryoupage #foryou#ps4 #infanzia #console,"foryoupage, foryou, ps4, infanzia, console",10/27/2020
449٫8,393,977,72٫9,23,#duetto con @mattia.de.luca #foryoupage #foryou #ironia tagga un tuo amico ricco,"duetto, foryoupage, foryou, ironia",10/27/2020
"1,100,000",908,3٫177,194٫5,15,La persona dopo la @ si nasconde sotto il tuo letto #foryoupage #foryou #comic #ironia #uomonero,"foryoupage, foryou, comic, ironia, uomonero",10/27/2020
575٫3,414,114,79٫8,10,#duetto con @doctorsango #foryoupage #foryou #tiktokamerica #comic,"duetto, foryoupage, foryou, tiktokamerica, comic",10/26/2020
161٫1,190,296,22٫3,7,La persona dopo la @ e trump #foryou #foryoupage #trump #comic #ironia,"foryou, foryoupage, trump, comic, ironia",10/26/2020
729٫6,2٫1,1٫786,104٫2,13,Rispondi a @cmeidmko sono sicuro che quelli della ps4 capiranno l’ironia #foryou #foryoupage #consoleplayer #ironia,"foryou, foryoupage, consoleplayer, ironia",10/26/2020
315٫4,164,342,44٫5,11,#duetto con @mollymollybot siamo identici #foryou #comic #foryoupage,"duetto, foryou, comic, foryoupage",10/25/2020
795٫8,1٫653,4٫701,130٫5,13,Vi prego non mi odiate #foryou #comic #ironia #foryoupage #consoleplayer,"foryou, comic, ironia, foryoupage, consoleplayer",10/25/2020
590٫2,307,896,120٫5,10,La persona dopo la dopo la @ ti deve una mascherina #foryou #comic #ironia #foryoupage #kobebryant,"foryou, comic, ironia, foryoupage, kobebryant",10/24/2020
320,224,985,53٫4,15,Chi c’è meglio di loro ?#hero #foryou #comic #ironia #foryoupage,"hero, foryou, comic, ironia, foryoupage",10/24/2020
153٫2,188,177,19,59,#duetto con @dest_time @dest_time #desttime #anime #manga  mi ha descritto in questo video 😍,"duetto, desttime, anime, manga",10/23/2020
161٫7,140,299,26٫3,12,la persona dopo la @ trama dietro di te #foryoupage #foryou #comic #ironia #school,"foryoupage, foryou, comic, ironia, school",10/23/2020
180٫9,177,333,32٫8,13,la persona dopo la @ sarà la tua crush #foryoupage #foryou #comic #crush #soldato,"foryoupage, foryou, comic, crush, soldato",10/22/2020
"2,400,000",1٫721,8٫785,324٫8,15,La persona dopo la la @ e tuo padre#foryoupage #foryou #comic #ironia #school,"foryoupage, foryou, comic, ironia, school",10/22/2020
261,205,1٫5,44٫8,12,ottimo lavoro soldato #foryoupage #foryou #comic #ironia #crush,"foryoupage, foryou, comic, ironia, crush",10/21/2020
381٫2,266,2٫038,65٫6,11,PURA VERITÀ #foryou #comic #foryoupage #fortnite #PARTY,"foryou, comic, foryoupage, fortnite, party",10/21/2020
217,174,376,37٫6,10,la persona dopo la @ dovrà venire in Messico con te #foryou #comic #foryoupage #messico,"foryou, comic, foryoupage, messico",10/20/2020
224٫5,158,106,35٫2,9,La persona dopo la @ in realtà è il mostro sotto il letto #ciseicifai #luomonero #foryou #foryou #comic,"ciseicifai, luomonero, foryou, foryou, comic",10/20/2020
367٫4,368,1٫185,73٫5,9,tagga un tuo compagno di classe #foryou #foryoupage #school #classe,"foryou, foryoupage, school, classe",10/19/2020
408,161,1٫12,71٫9,12,la persona dopo la @ ti deve un BMW#foryoupage #comic #ironia #kobebryant,"foryoupage, comic, ironia, kobebryant",10/19/2020
238٫2,159,2٫001,33٫2,7,Avevano tolto il suono di questo video spettacolare è lo ritrovato ✌🏿🔥#foryou #comedy #ironia #foryoupage,"foryou, comedy, ironia, foryoupage",10/17/2020
176٫8,136,374,28٫8,11,Per mio nonno sono dio #comedy #foryoupage #foryou #nonno #ironman,"comedy, foryoupage, foryou, nonno, ironman",10/16/2020
612٫7,706,2٫963,118٫3,14,Chi è più veloce di loro #foryoupage #foryou #comedy #ironia,"foryoupage, foryou, comedy, ironia",10/15/2020
204,125,445,34٫7,12,Ottima risposta soldato #foryoupage #foryou #comic #ironia #crush #ps4,"foryoupage, foryou, comic, ironia, crush, ps4",10/15/2020
268,340,81,34٫3,6,Ragazzi spacchiamo tutto pure su Instagram ❤️🙏🏿😭#foryoupage #foryou #comic,"foryoupage, foryou, comic",10/15/2020
164٫5,138,58,19٫7,6,Tagga un tuo compagno di classe #foryoupage #foryou #comic #game #ironia,"foryoupage, foryou, comic, game, ironia",10/14/2020
